Critical User Journey Problem area,Component,Functionality,1P Devices  Combination
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 8, Pixel 9, Pixel Fold + Pixel EarBuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 8, Pixel 9, Pixel Fold + Pixel Buds Pro 2"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming",Pixel Tablet + Pixel Buds A series
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming",Pixel Tablet + Pixel Buds Pro 2
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming",Pixel Phones + Pixel Buds + Pixel Watch
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming",
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming",
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming",ChromeOS + Pixel Buds 2 Pro
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 7 
Pixel 8
Pixel 8 Pro XL
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 7 
Pixel 9 pro
Pixel Fold
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 8A
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 9
Pixel 8
Pixel 8A
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 8
Pixel 9
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 8
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 9 Fold 2
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 9 Pro XL
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 9 pro
Pixel 7 Pro
Pixel Fold
Pixel Earbuds"
"Audio , Video"," Bluetooth, WiFi","Calling, Playback, Streaming","Pixel 7A
Pixel 9
Pixel 8
Pixel Earbuds"
